time,x,y
1.0036000033201253e6,0.57,0.774
1.0037000030668845e6,0.698,0.91
1.0038000001924669e6,0.63,0.98
1.0039000005502356e6,0.82,0.964
1.0040000067031176e6,0.666,1.112
1.0041000054389774e6,0.69,0.948
1.0042000010174332e6,0.798,1.088
1.0043000010311535e6,0.708,1.052
1.0044000000166943e6,0.754,1.022
1.0045000001580204e6,0.708,0.996
1.0046000000465563e6,0.662,0.976
1.0047000003049427e6,0.736,0.794
1.004800001266033e6,0.72,0.856
1.004900003789148e6,0.746,0.894
1.0050000012003562e6,0.836,1.196
1.005100002641771e6,0.856,1.134
1.0052000003342951e6,0.73,1.11
1.0053000008939281e6,0.676,0.952
1.0054000020053141e6,0.602,0.984
1.0055000022377807e6,0.806,0.964
1.0056000002210091e6,0.62,0.956
1.0057000032390557e6,0.67,0.912
1.005800000688968e6,0.694,1.062
1.0059000025938979e6,0.884,1.24
1.006000001411856e6,0.71,0.998
1.0061000007385922e6,0.684,0.91
1.006200001388825e6,0.776,1.168
1.0063000010987273e6,0.706,0.98
1.0064000015172627e6,0.752,1.112
1.006500000432117e6,0.818,0.966
1.0066000043759379e6,0.816,1.03
1.0067000008290361e6,0.732,1.034
1.0068000003142614e6,0.618,1.038
1.0069000050613324e6,0.762,0.95
1.0070000002506711e6,0.756,1.144
1.00710000098628e6,0.716,1.15
1.007200002483969e6,0.772,1.368
1.007300000000652e6,0.83,1.282
1.0074000005428863e6,0.782,1.244
1.0075000020730308e6,0.718,1.062
1.0076000010708774e6,0.868,1.114
1.0077000049920949e6,0.672,0.992
1.0078000009721982e6,0.794,0.94
1.0079000014177248e6,0.786,1.086
1.0080000006514571e6,0.792,1.13
1.0081000002172384e6,0.728,1.04
1.008200005870193e6,0.83,1.09
1.0083000078297094e6,0.786,0.854
1.0084000010553369e6,0.672,0.91
1.0085000020440794e6,0.808,1.01
1.0086000003946677e6,0.886,1.336
1.0087000026094051e6,0.828,1.264
1.0088000005746225e6,0.774,1.002
1.0089000010153985e6,0.81,1.06
1.009000000979306e6,0.798,1.094
1.0091000003712754e6,0.762,0.862
1.0092000008685411e6,0.864,0.974
1.009300000657422e6,0.878,1.256
1.0094000010373978e6,0.728,0.922
1.0095000007972813e6,0.772,1.108
1.0096000048872277e6,0.826,1.056
1.0097000009594638e6,0.708,1.156
1.0098000010756121e6,0.712,1.07
1.0099000010424888e6,0.714,1.154
1.0100000056993192e6,0.68,1.066
